003/Inst,001/BSN,OCLC number(s),245a/Title
NNU,000751723,"27151938","al-Maḥāsin wa-al-aḍdād /"
NNU,000765349,"45497864|221803253","Alf laylah wa-laylah mirʼāt al-ḥaḍārah wa-al-mujtamʻ fī al-ʻaṣr al-Islāmī /"
NNU,000995113,"813002876","al-Hilāl :"
NNU,001496932,"84100694","al-Kawākib al-sāʼirah /"
NNU,001648882,"79285275","ʻAshāʼir al-ʻIrāq /"
NNU,001658777,"23515909","al-Mukhtaṣar fī akhbār al-bashar /"
NNU,001658779,"123330897|31091912","al-Murshid ilá mawāṭin al-āthār wa-al-ḥaḍārah,"
NNU,001658793,"122869825","Wathāʼiq tārīkhīyah lil-Kursī al-Malakī al-Anṭākī :"
NNU,001676334,"33996161","Risālat taḥqīq mabādiʼ al-ʼulūm al-aḥada ʻashar /"
NNU,001676380,"39943477|41006380","Dalīl al-ḥajj lil-wārid ilá Makkah wa-al-Madīnah min kull fajj /"
NNU,001676510,"62624845","Ḥaḍārah fī ṭarīq al-zawāl :"
NNU,001676884,"12605050","Muslim ibn al-Walīd :"
NNU,001676885,"21540292","al-Fikr al-falsafī fī miʼat sanah,"
NNU,001676949,"476964819","Kitāb al-Yawāqīt al-thamīnah fī aʻyān madhhab ʻālim al-Madīnah /"
NNU,001677006,"476965137","Majmūʻat rasāʼil /"
NNU,001677027,"23508579","al-Ḥayawān wa-al-insān :"
NNU,001677045,"476965315","Ayyuhâ ül-veled şerhi /"
NNU,001677277,"476966513|316079465","al-Bābīyah wa-al-Bahāʼīyah /"
NNU,001677327,"476966733","al-Ḥayāh al-rūḥīyah :"
NNU,001677957,"37957258","Kitāb al-Fatḥ al-rabbānī."
NNU,001678152,"29848052","Muʼarrikh al-ʻIrāq Ibn al-Fuwaṭī :"
NNU,001678512,"13090940","Al-Uns al-jalīl bi-tārīkh al-Quds wa-al-Khalīl /"
NNU,001678873,"23492841","Thawrat sanat 1919 :"
NNU,001678962,"10401689","al-Sūdān min 13 Fibrāyir sana 1841 ila 12 Fibrāyir sana 1953."
NNU,001679054,"60498093","Tārīkh al-Islām al-siyāsī wa-al-dīnī wa-al-thaqāfī wa-al-ijtimāʻī /"
NNU,001679663,"23518888","al-Dāris fī tārīkh al-madāris /"
NNU,001679802,"9975446","Asmāʼ al-mudun wa-al-qurá al-Lubnānīyah wa-tafsīr maʻānīhā :"
NNU,001679829,"318941943","Nashāṭ al-ʻArab al-ʻilmī fī māʼat sanah /"
NNU,001679871,"708725909","al-Tibyān fī ʻilm al-bayān al-muṭṭaliʻ ʻalá iʻjāz al-Qurʼān /"
NNU,001680984,"476984915","al-Marjiʻ fī al-lughah al-ʻArabīyah :"
NNU,001682470,"31026514","Kitāb tārīkh Sūrīyah /"
NNU,001684809,"477004526","Kitāb maḥāsin Iṣfahān /"
NNU,001685212,"23491843|42862568","Kitāb al-ibdāl /"
NNU,001685253,"862567439|31148380","Tārīkh Ibn al-Furāt /"
NNU,001685255,"221803969|264988733","Dīwān Ibn al-Sāʻātī /"
NNU,001685257,"8752392","Nashāt al-Àrab fī al-ùlūm al-ijtimāì̄yah fī mi'at sanah,"
NNU,001685700,"54306955","Kitāb Sharḥ al-Muʻallaqāt al-sabʻ /"
NNU,001689340,"55538069","Min sharḥ khātimat al-muḥaqqiqīn wa-imām al-ʻārifīn Muḥammad al-Zurqānī ʻalá ṣaḥīḥ al-Muwaṭṭaʼ li-Mālik ibn Anas :"
NNU,001696948,"55537943","al-Mughnī /"
NNU,001699457,"213486518|19375821|10247198","Majālis Thaʻlab /"
NNU,001700635,"477056584","Wasāʼil al-Shīʻah ilá taḥṣīl masāʼil al-sharīʻah /"
NNU,001700697,"38785670","al-Marāḥil fī al-intidāb al-Faransī wa-fī niḍālinā al-waṭanī /"
NNU,001701340,"14229011","Mukhtār rasāʼil Jābir ibn Ḥayyān /"
NNU,001725799,"264966825|7421048","al-Bīrūni on transits;"
NNU,001741811,"43072313","al-Islām bayna al-sunnah wa-al-Shīʻah /"
NNU,001812106,"4418108","Lebanon in the last years of feudalism, 1840-1868;"
NNU,001812107,"2011960","Maronite historians of mediæval Lebanon :"
NNU,001812108,"68138005|83790","Abu Maʻshar and Latin Aristotelianism in the twelfth century :"
NNU,001820906,"22262824|19125026|84988260","Kitāb al-istiqṣā li-akhbār duwal al-Maghrib al-Aqṣá /"
NNU,001845234,"20636961|23506014","Tahdhīb al-uṣūl :"
NNU,001937094,"82240728","Kitāb thimār al-adab fī balāghat al-ʻArab /"
